Rk|Coach|From|To|Last School|Yrs|G|W|L|T|Pct|BG|BW|BL|BT|BPct|Notes
64|Carl Franks|1999|2003|Duke|5|52|7|45|0|.135|0|0|0|0||
65|Bob Frederick|1976|1981|Lamar|6|66|19|43|4|.318|0|0|0|0||
66|Ewing Freeland|1915|1923|Southern Methodist|3|28|19|8|1|.696|0|0|0|0||
67|Jackie Freeman|1952|1956|William & Mary|5|48|14|29|5|.344|0|0|0|0||
68|Hugh Freeze|2011|2019|Liberty|7|90|57|33|0|.633|6|4|2|0|.667|
69|Jerry Frei|1967|1971|Oregon|5|53|22|29|2|.434|0|0|0|0||
70|Ralph Friedgen|2001|2010|Maryland|10|125|75|50|0|.600|7|5|2|0|.714|
71|Willie Fritz|2014|2019|Tulane|6|75|41|34|0|.547|3|3|0|0|1.000|
72|Henry Frnka|1941|1951|Tulane|11|108|71|32|5|.681|5|2|3|0|.400|
73|Wally Fromhart|1954|1958|Detroit Mercy|5|46|19|25|2|.435|0|0|0|0||
74|Scott Frost|2016|2019|Nebraska|4|50|28|22|0|.560|2|1|1|0|.500|
75|Hayden Fry|1962|1998|Iowa|37|420|230|180|10|.560|17|7|9|1|.441|record adjusted to 233-177-10 by NCAA
76|Wesley Fry|1935|1939|Kansas State|5|45|18|21|6|.467|0|0|0|0||
77|Dennis Fryzel|1973|1974|Tampa|2|22|14|8|0|.636|0|0|0|0||
78|Justin Fuente|2012|2019|Virginia Tech|8|102|59|43|0|.578|5|2|3|0|.400|
79|Bill Fulcher|1972|1973|Georgia Tech|2|23|12|10|1|.543|1|1|0|0|1.000|
80|Leon Fuller|1982|1988|Colorado State|7|80|25|55|0|.313|0|0|0|0||
81|Myron Fuller|1920|1921|Tulane|2|18|6|12|0|.333|0|0|0|0||
82|Phillip Fulmer|1992|2008|Tennessee|17|204|151|52|1|.743|15|8|7|0|.533|record adjusted to 152-52-0 by NCAA
83|Albert Fulton|1899|1899|Trinity (CT)|1|9|3|5|1|.389|0|0|0|0||
84|D.S. Fultz|1903|1903|Brown|1|10|5|4|1|.550|0|0|0|0||
85|Fred Furman|1907|1908|Mississippi State|2|16|9|7|0|.563|0|0|0|0||
1|Warren Gaer|1949|1958|Drake|10|88|43|43|2|.500|1|0|1|0|.000|
2|Chan Gailey|2002|2007|Georgia Tech|6|76|44|32|0|.579|5|2|3|0|.400|
3|Richard Gallagher|1950|1952|Santa Clara|3|28|8|18|2|.321|0|0|0|0||
4|James Gallety|1886|1886|Tufts|1|9|0|9|0|.000|0|0|0|0||
5|Harry Gamage|1927|1933|Kentucky|7|62|32|25|5|.556|0|0|0|0||
6|Harry Gamble|1971|1980|Pennsylvania|10|91|34|55|2|.385|0|0|0|0||
7|J.A. Gammons|1902|1909|Brown|3|29|17|10|2|.621|0|0|0|0||
8|Frank Gargan|1912|1913|Georgetown|2|17|12|5|0|.706|0|0|0|0||
9|Howard Gargan|1909|1909|Fordham|1|8|5|1|2|.750|0|0|0|0||
10|Hank Garrity|1923|1925|Wake Forest|3|27|19|7|1|.722|0|0|0|0||
11|Floyd Gass|1969|1971|Oklahoma State|3|32|13|18|1|.422|0|0|0|0||
12|George Gauthier|1918|1918|Michigan State|1|7|4|3|0|.571|0|0|0|0||
13|Jeff Genyk|2004|2008|Eastern Michigan|5|58|16|42|0|.276|0|0|0|0||
14|Ray George|1951|1953|Texas A&M|3|30|12|14|4|.467|0|0|0|0||
15|Jason Gesser|2012|2012|Idaho|1|8|1|7|0|.125|0|0|0|0||
16|David Gibbs|2014|2014|Houston|1|1|1|0|0|1.000|1|1|0|0|1.000|
17|Gary Gibbs|1989|1994|Oklahoma|6|69|44|23|2|.652|3|2|1|0|.667|
18|Bob Gibson|1965|1967|Bowling Green State|3|28|19|9|0|.679|0|0|0|0||
19|Claude Gibson|1970|1972|Tulsa|3|27|11|16|0|.407|0|0|0|0||
20|Vince Gibson|1967|1982|Tulane|16|175|73|100|2|.423|2|0|2|0|.000|record adjusted to 75-98-2 by NCAA
21|Mike Giddings|1966|1967|Utah|2|21|9|12|0|.429|0|0|0|0||
22|Warren Giese|1956|1960|South Carolina|5|50|28|21|1|.570|0|0|0|0||
23|Claude Gilbert|1973|1989|San Jose State|14|158|99|56|3|.636|2|1|1|0|.500|record adjusted to 100-55-3 by NCAA
24|Keith Gilbertson|1992|2004|Washington|6|69|27|42|0|.391|1|1|0|0|1.000|
25|Andrew Gill|1918|1919|Kentucky|2|11|5|5|1|.500|0|0|0|0||
26|Turner Gill|2006|2018|Liberty|7|86|31|55|0|.360|1|0|1|0|.000|
27|Van Gillam|1921|1921|Birmingham-Southern|1|9|4|4|1|.500|0|0|0|0||
28|Jenks Gillem|1924|1941|Sewanee|3|24|8|15|1|.354|0|0|0|0||
29|Sid Gillman|1954|1954|Cincinnati|1|10|8|2|0|.800|0|0|0|0||
30|John Gilroy|1921|1921|Wofford|1|9|2|7|0|.222|0|0|0|0||
31|Vernon Glass|1974|1975|Lamar|2|21|9|12|0|.429|0|0|0|0||
32|William Glassford|1949|1955|Nebraska|7|69|30|35|4|.464|1|0|1|0|.000|record adjusted to 31-35-3 by NCAA
33|Ralph Glaze|1910|1920|Colorado Mines|7|52|15|30|7|.356|0|0|0|0||record adjusted to 15-30-7 by NCAA
34|Joe Glenn|2003|2008|Wyoming|6|71|30|41|0|.423|1|1|0|0|1.000|
35|Marshall Glenn|1937|1939|West Virginia|3|29|14|12|3|.534|1|1|0|0|1.000|
36|Frank Glick|1921|1921|Lehigh|1|8|4|4|0|.500|0|0|0|0||
37|Ray Goff|1989|1995|Georgia|7|81|46|34|1|.574|4|2|2|0|.500|
38|Al Golden|2006|2015|Miami (FL)|10|118|59|59|0|.500|3|0|3|0|.000|
39|Pop Golden|1900|1902|Penn State|3|29|16|12|1|.569|0|0|0|0||
40|Fred Goldsmith|1989|1998|Duke|10|111|40|70|1|.365|1|0|1|0|.000|
41|Alan Gooch|2003|2003|Central Florida|1|2|0|2|0|.000|0|0|0|0||
42|Mose Goodman|1918|1918|Virginia Military Institute|1|4|1|3|0|.250|0|0|0|0||
43|W.C. Gorden|1977|1977|Jackson State|1|11|8|3|0|.727|0|0|0|0||
44|Tom Gorman|1942|1942|Washington (MO)|1|10|5|5|0|.500|0|0|0|0||
45|John Gorsuch|1920|1920|Wofford|1|9|0|8|1|.056|0|0|0|0||
46|Frank Gorton|1914|1916|Virginia Military Institute|3|26|14|11|1|.558|0|0|0|0||
47|Mike Gottfried|1981|1989|Pittsburgh|9|101|53|45|3|.540|1|0|1|0|.000|record adjusted to 54-44-3 by NCAA
48|J. Goughler|1910|1910|Dickinson|1|10|3|7|0|.300|0|0|0|0||
49|Doug Graber|1990|1995|Rutgers|6|66|29|36|1|.447|0|0|0|0||
50|Dennis Grady|1913|1913|Northwestern|1|7|1|6|0|.143|0|0|0|0||
51|Ralph Graham|1906|1950|Kansas State|7|65|23|38|4|.385|1|0|1|0|.000|
52|Todd Graham|2006|2017|Arizona State|12|156|95|61|0|.609|9|5|4|0|.556|
53|Everett Grandelius|1959|1961|Colorado|3|31|20|11|0|.645|1|0|1|0|.000|
54|Ernest Graves|1906|1912|Army|2|9|6|3|0|.667|0|0|0|0||
55|Harmon Graves|1893|1895|Army|3|22|15|7|0|.682|0|0|0|0||
56|Ray Graves|1960|1969|Florida|10|105|70|31|4|.686|5|4|1|0|.800|
57|Tubby Graves|1911|1918|Texas A&M|5|43|27|13|3|.663|0|0|0|0||
58|Dennis Green|1981|1991|Stanford|8|89|26|63|0|.292|1|0|1|0|.000|
59|Edward Green|1908|1908|North Carolina|1|9|3|3|3|.500|0|0|0|0||
60|Jack Green|1963|1966|Vanderbilt|4|40|7|29|4|.225|0|0|0|0||
61|Vee Green|1933|1946|Drake|13|127|62|57|8|.520|1|1|0|0|1.000|
62|Forrest Gregg|1989|1990|Southern Methodist|2|22|3|19|0|.136|0|0|0|0||
63|Bob Gregory|2013|2013|Boise State|1|1|0|1|0|.000|1|0|1|0|.000|
64|John Gregory|1967|1969|Villanova|3|29|16|13|0|.552|0|0|0|0||
65|Tatum Gressette|1932|1939|Citadel|8|78|34|41|3|.455|0|0|0|0||
66|Wooly Grey|1920|1922|Davidson|3|30|10|15|5|.417|0|0|0|0||
67|Clarence Griffith|1902|1902|Colorado State|1|6|1|3|2|.333|0|0|0|0||
68|John Griffith|1908|1915|Drake|8|64|36|25|3|.586|0|0|0|0||
69|John Griffith|1909|1916|Oklahoma State|3|25|10|13|2|.440|0|0|0|0||
70|Johnny Griffith|1961|1963|Georgia|3|30|10|16|4|.400|0|0|0|0||
71|Jim Grobe|1995|2016|Baylor|20|239|117|121|1|.492|6|4|2|0|.667|
72|Al Groh|1981|2009|Virginia|15|178|85|93|0|.478|5|3|2|0|.600|
73|Arthur Guepe|1946|1962|Vanderbilt|17|166|86|71|9|.545|1|1|0|0|1.000|
74|Lance Guidry|2010|2012|Western Kentucky|2|2|1|1|0|.500|2|1|1|0|.500|
75|Mike Gundy|2005|2019|Oklahoma State|15|193|129|64|0|.668|14|9|5|0|.643|
76|Rich Gunnell|2019|2019|Boston College|1|1|0|1|0|.000|1|0|1|0|.000|
77|Andy Gustafson|1926|1963|Miami (FL)|20|197|115|78|4|.594|4|1|3|0|.250|
78|John Gutekunst|1985|1991|Minnesota|7|68|29|37|2|.441|2|1|1|0|.500|
79|Brent Guy|2005|2008|Utah State|4|47|9|38|0|.191|0|0|0|0||
80|L. Gwinn|1902|1902|Mississippi State|1|6|1|4|1|.250|0|0|0|0||
1|Paul Hackett|1989|2000|Southern California|7|71|32|38|1|.458|2|1|1|0|.500|
2|T.D. Hackney|1919|1919|Texas Christian|1|8|1|7|0|.125|0|0|0|0||
3|Bo Hagan|1967|1970|Rice|4|40|12|27|1|.313|0|0|0|0||
4|Oscar Hagberg|1944|1945|Navy|2|18|13|4|1|.750|0|0|0|0||
5|Jack Hagerty|1932|1948|Georgetown|14|118|63|45|10|.576|1|0|1|0|.000|
6|Odell Haggins|2017|2019|Florida State|2|6|4|2|0|.667|2|1|1|0|.500|
7|A.P. Hall|1908|1908|Wake Forest|1|5|1|4|0|.200|0|0|0|0||
8|Arthur Hall|1907|1912|Illinois|6|40|27|10|3|.713|0|0|0|0||
9|Cory Hall|2017|2017|Oregon State|1|6|0|6|0|.000|0|0|0|0||
10|Dale Hall|1959|1961|Army|3|29|16|11|2|.586|0|0|0|0||
11|E.K. Hall|1892|1893|Illinois|2|22|12|5|5|.659|0|0|0|0||
12|Galen Hall|1984|1989|Florida|6|59|40|18|1|.686|2|1|1|0|.500|
13|John Hall|1898|1898|Carlisle|1|10|6|4|0|.600|0|0|0|0||
14|James Halligan|1901|1903|Massachusetts|3|25|15|8|2|.640|0|0|0|0||
15|Curley Hallman|1988|1994|Louisiana State|7|78|39|39|0|.500|1|1|0|0|1.000|
16|C.B. Hamilton|1907|1907|Grinnell|1|9|6|3|0|.667|0|0|0|0||
17|Thomas Hamilton|1934|1954|Pittsburgh|7|61|28|32|1|.467|0|0|0|0||
18|Hamlin|1894|1894|Tufts|1|11|6|5|0|.545|0|0|0|0||
19|Charles Hammett|1910|1912|Northwestern|3|18|6|10|2|.389|0|0|0|0||
20|Thomas Hammock|2019|2019|Northern Illinois|1|12|5|7|0|.417|0|0|0|0||
21|S.M. Hammond|1896|1897|Lehigh|2|17|7|9|1|.441|0|0|0|0||
22|T.S. Hammond|1906|1906|Mississippi|1|6|4|2|0|.667|0|0|0|0||
23|J.W. Hancock|1927|1937|Northern Colorado|9|69|33|31|5|.514|0|0|0|0||
24|Mike Hankwitz|2003|2005|Colorado|2|8|1|7|0|.125|1|0|1|0|.000|
25|Dick Hanley|1927|1934|Northwestern|8|66|36|26|4|.576|0|0|0|0||
26|William Hanley|1914|1915|Colorado Mines|2|12|9|2|1|.792|0|0|0|0||
27|Jake Hanna|1940|1941|Centenary (LA)|2|20|3|15|2|.200|0|0|0|0||
28|Vic Hanson|1930|1936|Syracuse|7|59|33|21|5|.602|0|0|0|0||
29|Jack Harbaugh|1982|1986|Western Michigan|5|55|25|27|3|.482|0|0|0|0||record adjusted to 26-26-3 by NCAA
30|Jim Harbaugh|2007|2019|Michigan|9|115|76|39|0|.661|7|2|5|0|.286|
31|Lewie Hardage|1932|1934|Oklahoma|3|27|11|12|4|.481|0|0|0|0||
32|Wayne Hardin|1959|1982|Temple|18|187|111|71|5|.607|3|1|2|0|.333|
33|Jack Harding|1937|1947|Miami (FL)|9|89|54|32|3|.624|1|1|0|0|1.000|
34|Hank Hardwick|1937|1938|Navy|2|18|8|7|3|.528|0|0|0|0||
35|Bill Hargiss|1918|1932|Kansas|7|57|28|26|3|.518|0|0|0|0||
36|Jim Harkema|1983|1992|Eastern Michigan|10|103|41|57|5|.422|1|1|0|0|1.000|
37|E.H. Harlan|1915|1916|Texas A&M|2|17|12|5|0|.706|0|0|0|0||
38|Dick Harlow|1915|1947|Harvard|13|114|71|36|7|.654|0|0|0|0||
39|Harvey Harman|1931|1955|Rutgers|17|142|79|60|3|.567|0|0|0|0||
40|Harvey Harmon|1930|1930|Sewanee|1|10|3|6|1|.350|0|0|0|0||
41|Tom Harp|1961|1977|Indiana State|13|126|52|70|4|.429|0|0|0|0||
42|Jesse Harper|1913|1917|Notre Dame|5|40|34|5|1|.863|0|0|0|0||
43|Tom Harper|1972|1972|Wake Forest|1|11|2|9|0|.182|0|0|0|0||
44|Warren Harper|1963|1964|Texas-El Paso|2|20|3|15|2|.200|0|0|0|0||
45|Howard Harpster|1933|1936|Carnegie Mellon|4|34|12|19|3|.397|0|0|0|0||
46|C.E. Harris|1899|1904|Grinnell|3|27|11|14|2|.444|0|0|0|0||
47|Deed Harris|1917|1917|Carlisle|1|9|3|6|0|.333|0|0|0|0||
48|Walt Harris|1989|2006|Stanford|13|154|69|85|0|.448|6|2|4|0|.333|
49|John Harrison|1899|1899|Minnesota|1|11|6|3|2|.636|0|0|0|0||
50|Bryan Harsin|2013|2019|Boise State|7|93|71|22|0|.763|5|4|2|0|.667|
51|C.J. Hart|1925|1927|Brigham Young|3|20|6|12|2|.350|0|0|0|0||
52|Dave Hart|1966|1968|Pittsburgh|3|30|3|27|0|.100|0|0|0|0||
53|Gerry Hart|1975|1976|Illinois State|2|21|7|13|1|.357|0|0|0|0||
54|J.B. Hart|1902|1902|Texas|1|10|6|3|1|.650|0|0|0|0||
55|Wayne Hart|1916|1916|Clemson|1|9|3|6|0|.333|0|0|0|0||
56|Harry Hartsell|1917|1923|North Carolina State|4|38|16|18|4|.474|0|0|0|0||
57|John Hartwell|1895|1895|Yale|1|15|13|0|2|.933|0|0|0|0||
58|M.H. Harvey|1902|1904|Mississippi|2|9|4|5|0|.444|0|0|0|0||
59|J.A. Harwell|1892|1892|Lehigh|1|9|3|6|0|.333|0|0|0|0||
60|Haskell|1893|1893|Tufts|1|11|4|7|0|.364|0|0|0|0||
61|P.G. Haskell|1893|1893|Lafayette|1|8|2|6|0|.250|0|0|0|0||
62|Ken Hatfield|1979|2005|Rice|27|312|168|140|4|.545|10|4|6|0|.400|
63|Bobby Hauck|2010|2014|Nevada-Las Vegas|5|64|15|49|0|.234|1|0|1|0|.000|
64|Percy Haughton|1899|1924|Columbia|13|123|97|19|7|.817|0|0|0|0||
65|George Hauser|1926|1944|Minnesota|5|45|24|15|6|.600|0|0|0|0||
66|Dan Hawkins|2001|2010|Colorado|10|122|72|50|0|.590|5|2|3|0|.400|
67|Jesse Hawley|1910|1928|Dartmouth|12|92|63|28|1|.690|0|0|0|0||
68|Billy Hayes|1931|1933|Indiana|3|24|6|14|4|.333|0|0|0|0||
69|E.C. Hayes|1914|1916|Mississippi State|3|25|15|8|2|.640|0|0|0|0||
70|Tom Hayes|2001|2001|Kansas|1|3|1|2|0|.333|0|0|0|0||
71|Woody Hayes|1951|1978|Ohio State|28|276|205|61|10|.761|11|5|6|0|.455|
72|Ward Haylett|1942|1944|Kansas State|3|28|6|20|2|.250|0|0|0|0||
73|Paul Haynes|2013|2017|Kent State|5|59|14|45|0|.237|0|0|0|0||
74|Michael Haywood|2009|2010|Miami (OH)|2|25|10|15|0|.400|0|0|0|0||
75|Homer Hazel|1925|1929|Mississippi|5|46|21|22|3|.489|0|0|0|0||
76|Darrell Hazell|2011|2016|Purdue|6|68|25|43|0|.368|1|0|1|0|.000|
77|Will Healy|2019|2019|Charlotte|1|13|7|6|0|.538|1|0|1|0|.000|
78|Pudge Heffelfinger|1894|1895|Minnesota|2|24|12|12|0|.500|0|0|0|0||
79|Ernest Hefferle|1960|1961|Boston College|2|20|7|12|1|.375|0|0|0|0||
80|Jack Hegarty|1914|1915|North Carolina State|2|13|5|6|2|.462|0|0|0|0||
81|John Heisman|1902|1927|Rice|26|222|148|60|14|.698|0|0|0|0||
82|Mark Helfrich|2013|2016|Oregon|4|53|37|16|0|.698|3|2|1|0|.667|
83|Clay Helton|2013|2019|Southern California|6|62|40|22|0|.645|5|2|3|0|.400|
84|Kim Helton|1993|1999|Houston|7|78|24|53|1|.314|1|0|1|0|.000|
85|Tyson Helton|2019|2019|Western Kentucky|1|13|9|4|0|.692|1|1|0|0|1.000|
86|Gus Henderson|1922|1935|Tulsa|6|55|39|14|2|.727|2|2|0|0|1.000|
87|Horace Hendrickson|1952|1953|North Carolina State|2|20|4|16|0|.200|0|0|0|0||
88|Dan Henning|1994|1996|Boston College|3|36|16|19|1|.458|1|1|0|0|1.000|
89|Gwinn Henry|1923|1942|Kansas|16|141|65|67|9|.493|1|0|1|0|.000|
90|J.H. Henry|1903|1903|Vanderbilt|1|8|6|1|1|.813|0|0|0|0||
91|George Henshaw|1987|1987|Tulsa|1|11|3|8|0|.273|0|0|0|0||
92|Tom Herman|2015|2019|Texas|5|66|47|19|0|.712|5|4|1|0|.800|
93|A.E. Hernstein|1905|1905|Purdue|1|8|6|1|1|.813|0|0|0|0||
94|Reggie Herring|2007|2007|Arkansas|1|1|0|1|0|.000|1|0|1|0|.000|
95|James Herron|1922|1925|Duke|2|16|5|9|2|.375|0|0|0|0||
96|Pat Herron|1926|1928|Washington & Lee|3|28|10|15|3|.411|0|0|0|0||
97|Bill Hess|1962|1977|Ohio|16|166|80|83|3|.491|2|0|2|0|.000|
98|Jim Hess|1990|1996|New Mexico State|7|77|22|55|0|.286|0|0|0|0||
99|Harvey Hester|1915|1915|Wofford|1|8|3|5|0|.375|0|0|0|0||
100|Willie Heston|1905|1905|Drake|1|8|4|4|0|.500|0|0|0|0||
101|Josh Heupel|2018|2019|Central Florida|2|26|22|4|0|.846|2|1|1|0|.500|
102|James Hickey|1959|1966|North Carolina|8|81|36|45|0|.444|1|1|0|0|1.000|
103|Herman Hickman|1948|1951|Yale|4|35|16|17|2|.486|0|0|0|0||
104|William Hickok|1896|1896|Carlisle|1|10|5|5|0|.500|0|0|0|0||
105|Bob Hicks|1957|1957|Indiana|1|9|1|8|0|.111|0|0|0|0||
106|Bob Higgins|1925|1948|Penn State|22|184|99|71|14|.576|1|0|0|1|.500|
107|Patrick Higgins|2012|2012|Purdue|1|1|0|1|0|.000|1|0|1|0|.000|
108|Billy Hildebrand|1960|1963|Wake Forest|4|40|7|33|0|.175|0|0|0|0||
109|Fitz Hill|2001|2004|San Jose State|4|47|14|33|0|.298|0|0|0|0||
110|Jess Hill|1951|1956|Southern California|6|63|45|17|1|.722|2|1|1|0|.500|
111|Pat Hill|1997|2011|Fresno State|15|192|112|80|0|.583|11|4|7|0|.364|
112|Jim Hilles|1986|1986|Wisconsin|1|12|3|9|0|.250|0|0|0|0||
113|Gerald Hines|1931|1939|New Mexico State|9|84|46|31|7|.589|1|0|0|1|.500|
114|Frank Hinkey|1914|1915|Yale|2|18|11|7|0|.611|0|0|0|0||
115|William Hoag|1896|1901|Bates|2|16|8|6|2|.563|0|0|0|0||
116|Homer Hobbs|1955|1957|Furman|3|30|6|24|0|.200|0|0|0|0||
117|Terry Hoeppner|1999|2006|Indiana|8|96|57|39|0|.594|2|1|1|0|.500|
118|A.C. Hoffman|1913|1913|Tulane|1|8|3|5|0|.375|0|0|0|0||
119|Jim Hofher|2001|2005|Buffalo|5|57|8|49|0|.140|0|0|0|0||
120|Brady Hoke|2003|2017|Tennessee|13|150|78|72|0|.520|5|2|3|0|.400|
121|Stuart Holcomb|1947|1955|Purdue|9|81|35|42|4|.457|0|0|0|0||
122|Dana Holgorsen|2011|2019|Houston|9|114|65|49|0|.570|7|2|5|0|.286|
123|E.W. Holladay|1911|1911|Davidson|1|8|5|3|0|.625|0|0|0|0||
124|Bill Hollenback|1909|1914|Missouri|6|49|32|11|6|.714|0|0|0|0||
125|Jack Hollenback|1910|1910|Penn State|1|8|5|2|1|.688|0|0|0|0||
126|William Hollenback|1916|1916|Syracuse|1|9|5|4|0|.556|0|0|0|0||
127|Doc Holliday|2010|2019|Marshall|10|129|78|51|0|.605|7|6|1|0|.857|
128|O.E. Hollingbery|1926|1942|Washington State|17|160|93|53|14|.625|1|0|1|0|.000|
129|Joe Hollis|1997|2001|Arkansas State|5|56|13|43|0|.232|0|0|0|0||
130|Charles Hollister|1899|1902|Northwestern|4|47|27|16|4|.617|0|0|0|0||
131|John Hollister|1894|1903|Beloit|7|66|32|26|8|.545|0|0|0|0||
132|Elmer Holm|1936|1940|Washburn|5|48|18|29|1|.385|0|0|0|0||
133|Dave Holmes|1971|1971|Hawaii|1|11|7|4|0|.636|0|0|0|0||
134|Tom Holmoe|1997|2001|California|5|55|16|39|0|.291|0|0|0|0||record adjusted to 12-39-0 by NCAA
135|Mike Holovak|1951|1959|Boston College|9|81|49|29|3|.623|0|0|0|0||
136|P.A. Holstein|1942|1942|Washington & Lee|1|9|1|8|0|.111|0|0|0|0||
137|Edgar Holt|1901|1902|Illinois|2|23|18|4|1|.804|0|0|0|0||
138|Nick Holt|2016|2016|Western Kentucky|1|1|1|0|0|1.000|1|1|0|0|1.000|
139|Nick Holt|2004|2005|Idaho|2|23|5|18|0|.217|0|0|0|0||
140|Fred Holtkamp|1920|1921|Mississippi State|2|17|9|7|1|.559|0|0|0|0||
141|Lou Holtz|1969|2004|South Carolina|33|388|249|132|7|.651|22|12|8|2|.591|
142|Skip Holtz|2005|2019|Louisiana Tech|15|194|110|84|0|.567|11|8|3|0|.727|
143|Danny Hope|2009|2012|Purdue|4|49|22|27|0|.449|1|1|0|0|1.000|
144|George Hope|1945|1945|Richmond|1|8|2|6|0|.250|0|0|0|0||
145|Hopkins|1900|1900|Tufts|1|10|3|6|1|.350|0|0|0|0||
146|Jay Hopson|2016|2019|Southern Mississippi|4|50|28|22|0|.560|3|1|2|0|.333|
147|James Horne|1899|1904|Indiana|6|53|30|20|3|.594|0|0|0|0||
148|Bill Horr|1909|1909|Northwestern|1|5|1|3|1|.300|0|0|0|0||
149|M.H. Horr|1910|1912|Purdue|3|20|8|11|1|.425|0|0|0|0||
150|Babe Horrell|1939|1944|UCLA|6|61|24|31|6|.443|1|0|1|0|.000|
151|Jeff Horton|2010|2010|Minnesota|1|5|2|3|0|.400|0|0|0|0||
152|Jeff Horton|1993|1998|Nevada-Las Vegas|6|68|20|48|0|.294|1|1|0|0|1.000|
153|George Hoskins|1899|1909|Bucknell|9|81|39|38|4|.506|0|0|0|0||
154|Mike Houston|2019|2019|East Carolina|1|12|4|8|0|.333|0|0|0|0||
155|Frank Howard|1940|1969|Clemson|30|295|165|118|12|.580|6|3|3|0|.500|
156|Wayne Howard|1974|1981|Utah|8|89|53|34|2|.607|0|0|0|0||
157|Dixie Howell|1938|1950|Idaho|8|76|36|35|5|.507|2|0|1|1|.250|
158|M. Howland|1892|1892|Brown|1|10|4|5|1|.450|0|0|0|0||
159|Cac Hubbard|1939|1947|Denver|7|67|33|25|9|.560|2|0|2|0|.000|
160|Homer Hubbard|1913|1914|Iowa State|2|15|8|7|0|.533|0|0|0|0||
161|Allison Hubert|1939|1946|Virginia Military Institute|3|30|17|10|3|.617|0|0|0|0||
162|Mark Hudspeth|2011|2017|Louisiana|7|89|51|38|0|.573|5|4|1|0|.800|
163|Tommy Hudspeth|1964|1973|Texas-El Paso|10|97|40|56|1|.418|0|0|0|0||
164|Chelo Huerta|1962|1964|Wichita State|3|29|14|15|0|.483|0|0|0|0||
165|George Huff|1895|1899|Illinois|5|40|21|16|3|.563|0|0|0|0||
166|Berl Huffman|1947|1949|New Mexico|3|31|8|22|1|.274|0|0|0|0||
167|Harry Hughes|1911|1941|Colorado State|31|235|125|92|18|.570|0|0|0|0||
168|Al Humphreys|1937|1946|Bucknell|4|33|14|17|2|.455|0|0|0|0||
169|Claude Hunt|1917|1919|Washington|2|10|6|3|1|.650|0|0|0|0||
170|Joel Hunt|1938|1939|Wyoming|2|18|5|11|2|.333|0|0|0|0||
171|Ellery Huntington|1919|1921|Colgate|3|25|10|10|5|.500|0|0|0|0||
172|Shy Huntington|1918|1923|Oregon|6|44|26|12|6|.659|1|0|1|0|.000|
173|Puggy Hunton|1939|1941|Gonzaga|3|28|14|13|1|.518|0|0|0|0||
174|Vic Hurt|1936|1938|Tulsa|3|29|15|9|5|.603|0|0|0|0||
175|Charles Hutchins|1902|1907|Wisconsin|4|32|19|12|1|.609|0|0|0|0||
176|Ralph Hutchinson|1901|1918|Washington & Jefferson|5|39|22|15|2|.590|0|0|0|0||
177|Mark Hutson|2011|2011|Tulane|1|6|0|6|0|.000|0|0|0|0||
178|H.C. Hyatt|1905|1905|Sewanee|1|7|4|2|1|.643|0|0|0|0||
179|E.J. Hyde|1905|1907|Texas Christian|3|23|10|11|2|.478|0|0|0|0||
180|Harvey Hyde|1982|1985|Nevada-Las Vegas|4|46|26|19|1|.576|1|1|0|0|1.000|record adjusted to 8-37-1 by NCAA
181|Mike Hyland|1924|1926|Grinnell|3|22|12|7|3|.614|0|0|0|0||
1|Rob Ianello|2010|2011|Akron|2|24|2|22|0|.083|0|0|0|0||
2|John Idzik|1962|1964|Detroit Mercy|3|28|6|21|1|.232|0|0|0|0||
3|Jack Ingersoll|1911|1916|Virginia Tech|2|18|10|8|0|.556|0|0|0|0||
4|Cecil Ingram|1970|1972|Clemson|3|33|12|21|0|.364|0|0|0|0||
5|Jonas Ingram|1915|1916|Navy|2|19|9|8|2|.526|0|0|0|0||
6|William Ingram|1922|1934|California|13|126|75|42|9|.631|0|0|0|0||
7|Burton Ingwersen|1924|1931|Iowa|8|64|33|27|4|.547|0|0|0|0||
8|Jerry Ippoliti|1971|1975|Northern Illinois|5|55|25|29|1|.464|0|0|0|0||
9|W.M. Irvin|1889|1889|Franklin & Marshall|1|7|5|1|1|.786|0|0|0|0||
10|W.D. Irvine|1890|1890|Franklin & Marshall|1|10|8|2|0|.800|0|0|0|0||
11|Cecil Isbell|1944|1946|Purdue|3|29|14|14|1|.500|0|0|0|0||
12|Mark Ivey|2018|2018|Appalachian State|1|1|1|0|0|1.000|1|1|0|0|1.000|
1|Jeff Jagodzinski|2007|2008|Boston College|2|28|20|8|0|.714|2|1|1|0|.500|
2|Charlie Jamerson|1948|1949|Davidson|2|19|5|13|1|.289|0|0|0|0||
3|Don James|1971|1992|Washington|22|257|175|79|3|.687|15|10|5|0|.667|record adjusted to 178-76-3 by NCAA
4|George James|1947|1960|Cornell|14|126|66|58|2|.532|0|0|0|0||
5|Dick Jamieson|1978|1979|Indiana State|2|22|11|11|0|.500|0|0|0|0||
6|Alpha Jamison|1898|1900|Purdue|3|23|11|11|1|.500|0|0|0|0||
7|Hugh Janeway|1894|1894|Lafayette|1|11|5|6|0|.455|0|0|0|0||
8|J. Janvier|1904|1904|Tulane|1|7|5|2|0|.714|0|0|0|0||
9|John Jardine|1970|1977|Wisconsin|8|87|37|47|3|.443|0|0|0|0||
10|Leonard Jardine|1967|1972|Brown|6|54|9|44|1|.176|0|0|0|0||
