Week Purified Store Spring Store Distilled Store Carbonated Store Artesian Store Mineral Store
9/26/09 1,215,953 17,522 281,805 2,521 47,693 437 22,789 206 9,749 108 3,777 28
10/9/10 1,283,214 18,595 289,993 3,091 41,898 560 27,608 261 16,856 161 2,159 18
10/16/10 1,169,684 13,969 266,589 2,786 39,276 444 28,300 264 15,989 125 2,279 -
10/23/10 1,047,857 13,277 252,737 2,739 37,312 670 26,406 276 15,079 184 2,277 26
10/30/10 1,034,598 13,110 257,112 2,841 34,048 230 25,150 333 15,466 119 2,309 14
11/6/10 1,108,518 6,796 275,488 2,847 37,363 544 25,637 155 16,658 182 2,228 22
11/13/10 955,744 10,959 247,763 2,283 33,465 586 25,471 234 13,454 112 2,013 7
11/20/10 996,171 8,366 226,906 2,727 32,003 322 27,614 329 12,277 18 1,802 15
11/27/10 872,619 10,139 215,010 2,395 30,054 624 17,927 190 12,613 160 2,061 19
12/4/10 961,080 9,935 232,918 1,805 32,722 308 18,348 193 15,077 168 1,941 34
12/11/10 911,004 12,505 224,447 1,097 31,575 243 15,413 128 13,309 124 1,874 41
12/18/10 955,357 5,427 210,639 2,897 37,092 232 16,222 158 15,333 123 1,425 -
12/25/10 743,368 9,607 230,441 1,931 29,545 251 19,217 147 11,623 100 1,409 -
1/1/11 943,587 10,142 316,603 3,174 35,216 418 27,817 238 13,174 94 1,749 17
1/8/11 918,381 9,977 285,459 2,710 31,676 227 25,900 325 14,313 99 1,741 26
1/15/11 858,977 3,568 257,624 3,274 34,773 556 25,454 319 12,473 129 1,298 22
1/22/11 825,778 7,896 238,495 1,516 32,736 575 25,056 169 12,069 181 1,661 29
1/29/11 985,388 2,744 336,302 3,959 36,796 - 28,042 215 14,436 132 1,958 25
2/5/11 942,516 7,128 268,895 1,931 33,623 545 27,312 314 16,365 188 1,683 28
2/12/11 1,048,505 7,855 257,366 2,787 39,110 287 27,331 248 16,319 126 1,673 7
2/19/11 996,149 16,841 268,392 2,245 38,543 876 27,769 338 16,476 170 1,738 -
2/26/11 1,124,394 11,003 267,975 3,008 40,703 411 26,625 199 17,233 244 1,650 15
3/5/11 1,107,125 9,982 273,512 2,658 41,284 251 27,057 328 17,515 177 1,667 26
3/12/11 1,251,751 12,865 296,510 2,960 44,927 436 28,062 331 20,576 234 1,738 21
3/19/11 1,282,254 14,015 295,758 3,234 39,552 173 28,214 324 19,070 223 1,474 -
3/26/11 1,105,639 12,453 260,995 1,756 35,547 551 25,709 271 17,614 219 1,568 26
4/2/11 1,351,077 8,974 300,207 3,443 44,306 185 29,781 292 20,497 243 1,474 11
4/9/11 1,370,048 14,401 339,955 3,285 45,123 425 29,237 234 22,698 241 1,694 9
4/16/11 1,173,363 11,816 263,606 3,391 39,418 257 28,156 326 18,165 180 1,353 16
4/23/11 1,092,925 11,871 229,619 2,523 34,646 411 25,706 325 14,834 154 1,496 19
4/30/11 1,123,862 9,795 235,271 2,516 34,673 333 26,563 258 18,490 161 1,397 -
5/7/11 1,422,650 20,014 287,771 2,609 45,270 542 30,022 186 20,608 181 1,320 5
5/14/11 1,203,439 7,607 241,622 2,203 36,316 185 26,546 242 14,700 127 1,100 5
5/21/11 1,384,212 12,701 294,305 4,017 38,255 260 28,362 275 15,299 147 1,364 27
5/28/11 1,627,825 16,341 346,637 3,760 56,743 590 31,025 347 17,094 212 1,342 18
6/4/11 1,817,395 16,075 430,029 3,155 68,002 652 33,116 300 20,906 212 1,617 7
6/11/11 1,682,579 15,952 362,938 2,618 67,544 721 31,670 386 15,997 204 1,837 26
6/18/11 1,480,356 17,234 373,407 3,407 64,183 687 32,066 295 15,612 98 1,265 25
6/25/11 1,546,514 18,163 375,702 3,613 65,618 252 32,651 380 15,756 176 1,617 4
7/2/11 1,718,288 15,079 353,947 3,286 64,041 951 33,907 330 16,542 219 1,463 13
7/9/11 1,737,293 12,500 393,032 2,591 76,913 634 31,975 411 17,322 212 1,342 26
7/16/11 1,614,358 19,665 379,614 4,320 76,708 634 33,374 272 13,574 157 1,426 10
7/23/11 1,457,918 11,791 382,397 4,233 73,609 589 31,870 344 13,689 130 1,416 17
7/30/11 1,760,177 24,500 424,774 3,368 87,635 973 34,034 322 15,833 115 1,769 20
8/6/11 1,625,904 18,950 359,784 3,774 88,833 746 31,086 307 16,666 142 1,311 -
8/13/11 1,512,426 18,298 381,903 4,290 93,098 832 31,123 302 15,861 185 1,377 16
8/20/11 1,387,396 16,491 391,444 4,027 89,499 625 29,971 337 13,216 116 1,435 27
8/27/11 1,467,093 15,056 427,249 4,609 79,108 1,092 34,103 260 13,130 128 1,256 25
9/3/11 1,408,398 18,239 405,200 3,890 56,461 493 33,008 343 14,903 125 1,397 17
9/10/11 1,339,129 13,152 359,070 4,069 52,040 413 31,523 332 13,490 140 1,149 13
9/17/11 1,170,178 10,743 340,169 4,192 43,145 283 29,617 260 11,741 38 1,330 19
9/24/11 1,146,157 10,523 356,145 3,595 44,089 215 28,143 301 12,057 161 1,311 3
10/1/11 1,232,573 13,783 374,307 3,705 44,695 432 29,089 334 14,135 84 1,603 23
10/8/11 1,235,104 14,111 372,969 4,332 46,221 493 30,986 317 13,202 125 1,451 17
10/15/11 1,095,881 14,917 327,285 3,561 43,243 216 28,535 287 11,692 115 1,292 12
10/22/11 979,681 12,966 301,962 2,399 38,241 235 27,062 242 9,769 153 1,148 1
10/29/11 1,010,041 10,475 312,785 2,810 38,592 545 29,800 300 10,425 19 1,287 -
11/5/11 1,056,627 9,263 336,958 2,709 39,003 160 26,413 281 12,946 126 1,418 1
11/12/11 938,386 7,996 302,621 3,309 36,364 348 26,128 296 12,022 139 1,209 -
11/19/11 959,073 6,096 275,305 2,641 36,195 202 31,150 366 10,424 152 1,171 12
